term,frequency,total,idf
thoughtbot,3,4074,7.213768308118642
obsolet,3,4074,7.213768308118642
write,97,4074,3.7376696182833684
mutation.oncallscheduledestroi,6,4074,6.520621127558696
ordinari,3,4074,7.213768308118642
persist,48,4074,4.44117958587886
trivi,1,4074,8.31238059678675
unapprov,3,4074,7.213768308118642
inc,6,4074,6.520621127558696
ineffici,6,4074,6.520621127558696
merg,334,4074,2.501239603810051
tipimail,2,4074,7.619233416226805
dive,21,4074,5.267858159063328
mergerequestpermiss,6,4074,6.520621127558696
measur,21,4074,5.267858159063328
gettext,3,4074,7.213768308118642
cat,3,4074,7.213768308118642
cento,18,4074,5.422008838890586
worthwhil,3,4074,7.213768308118642
sentryerrorcollect,6,4074,6.520621127558696
assetsbr/canon,3,4074,7.213768308118642
movetyp,6,4074,6.520621127558696
cap,3,4074,7.213768308118642
approvalwrappedrul,3,4074,7.213768308118642
featur,414,4074,2.2865146229614366
projectmemberedg,6,4074,6.520621127558696
redirect,36,4074,4.728861658330641
exchang,5,4074,6.70294268435265
can,813,4074,1.6116494872389406
code,227,4074,2.8874305793053483
protect,76,4074,3.98164725650042
mutation.destroycomplianceframework,6,4074,6.520621127558696
visibilityscopesenum,6,4074,6.520621127558696
diagnos,12,4074,5.827473946998751
uberspac,2,4074,7.619233416226805
true,3,4074,7.213768308118642
entiti,9,4074,6.115156019450532
directori,67,4074,4.107687977395785
deadlock,3,4074,7.213768308118642
unmapp,6,4074,6.520621127558696
selinux,7,4074,6.366470447731438
least,17,4074,5.4791672527305355
import,183,4074,3.1028944439453303
securityreportsummarysect,6,4074,6.520621127558696
mutation.cijobtokenscoperemoveproject,4,4074,6.926086235666861
windows/mac,3,4074,7.213768308118642
query.mileston,6,4074,6.520621127558696
sentryerrorfrequ,6,4074,6.520621127558696
mergerequestreviewer.assignedmergerequest,6,4074,6.520621127558696
valu,112,4074,3.5938817254916566
skip,33,4074,4.815873035320271
mutation.destroycontainerrepositorytag,6,4074,6.520621127558696
worker,38,4074,4.674794437060365
mutation.updateiter,6,4074,6.520621127558696
implement,125,4074,3.48406685948445
address,43,4074,4.551180481093189
snippet,45,4074,4.505718107016431
unitymedia,2,4074,7.619233416226805
group.iter,6,4074,6.520621127558696
outdat,13,4074,5.7474312393252145
vale,5,4074,6.70294268435265
unstar,3,4074,7.213768308118642
pathlockid,6,4074,6.520621127558696
boardlistedg,6,4074,6.520621127558696
learn,56,4074,4.287028906051602
user.todo,6,4074,6.520621127558696
repmgr,7,4074,6.366470447731438
eventedg,6,4074,6.520621127558696
likewis,3,4074,7.213768308118642
sentinels..host,2,4074,7.619233416226805
feel,3,4074,7.213768308118642
unstag,9,4074,6.115156019450532
basic,89,4074,3.823744227054611
feed,3,4074,7.213768308118642
secondary.example.com,3,4074,7.213768308118642
dist,3,4074,7.213768308118642
input,26,4074,5.054284058765269
mutation.dastscannerprofileupd,6,4074,6.520621127558696
groupmemberconnect,6,4074,6.520621127558696
disk,15,4074,5.604330395684541
audienc,3,4074,7.213768308118642
newlin,8,4074,6.2329390551069155
metrics.en,6,4074,6.520621127558696
solargraph,3,4074,7.213768308118642
boardconnect,6,4074,6.520621127558696
retri,44,4074,4.52819096286849
signatur,13,4074,5.7474312393252145
omnibu,211,4074,2.9605224633106846
noteableinterfac,4,4074,6.926086235666861
mergerequestdiffregistryedg,6,4074,6.520621127558696
south,3,4074,7.213768308118642
medium,3,4074,7.213768308118642
menu,18,4074,5.422008838890586
bastion,6,4074,6.520621127558696
redhat,5,4074,6.70294268435265
realm,3,4074,7.213768308118642
renew,14,4074,5.673323267171493
calcul,8,4074,6.2329390551069155
broken,22,4074,5.221338143428436
