@relation trainingSet

@attribute 0 numeric
@attribute 0.002173913 numeric
@attribute 0.5 numeric
@attribute 1 numeric

@data
0.005163,0.002999,0.5,1
0.045698,0.001616,0.5,1
0,0.003279,1,1
0.018095,0.001605,0.5,1
0.039906,0.000841,1,1
0,0.003049,0.5,1
0,0.000215,0,1
0.186893,0.000779,1,1
0,0.01,1,1
0.138275,0.010417,1,1
0.136389,0.004637,1,1
0.142032,0.002625,0.333333,1
0,0.000579,0.666667,1
0,0.001172,1,1
0,0.001828,0.333333,1
0.060083,0.013333,0,1
0,0.000312,0,1
0.233197,0.06383,0.333333,1
0.291667,0.042553,0.666667,1
0.091013,0.001245,0.5,1
0.050663,0.000896,1,1
0,0.000874,1,1
0.085875,0.010526,0.5,1
0,0.012195,0.333333,1
?,0,0,1
0.052517,0.000966,1,1
0.192813,0.024,0.75,1
0,0.007634,1,1
0,0.000877,1,1
0.160631,0.00077,1,1
0,0.005236,1,1
0,0.000369,1,1
0,0.001515,1,1
0.101461,0.034483,0,1
0.241547,0.007018,1,1
0.241906,0.014337,1,1
0,0.002519,0.333333,1
0,0.000452,0,1
0.233056,0.008798,1,1
0.226158,0.002857,0,1
0.197807,0.011765,1,1
0.157671,0.004819,1,1
0,0.25,0,1
0,0.04,1,1
0.129304,0.004657,0.8,1
0.09991,0.000665,1,1
0.2003,0.044118,1,1
0.258147,0.000855,0.5,1
0.251462,0.001444,1,1
0.264225,0.011186,1,1
0.134949,0.002999,0,0
0.003139,0.001616,0,0
0,0.003279,0,0
0.00236,0.001605,0,0
0.023591,0.000561,0,0
0.04378,0.006098,0,0
0,0.000215,0.333333,0
0.020351,0.000779,0,0
?,0,0,0
0.01071,0.010417,0,0
0.002583,0.003091,0.333333,0
0.035927,0.002625,0,0
0,0.000579,0,0
0,0.001172,0,0
0,0.001828,0,0
0.050087,0.013333,0,0
0,0.000312,0,0
0.06566,0.042553,0.333333,0
0.017371,0.042553,0.333333,0
0.069766,0.00083,0,0
0.006109,0.000598,0,0
0.061108,0.001748,0,0
0.023632,0.010526,0.25,0
0,0.012195,0,0
0,0.006803,0,0
0.036993,0.000966,0.5,0
0.016414,0.016,0,0
0.029903,0.015267,0,0
0,0.000877,0,0
0.008864,0.00077,0,0
0,0.005236,0,0
0,0.000369,0,0
0,0.001515,0,0
0.09419,0.022989,0,0
0,0.003509,0.5,0
0.068876,0.007168,0,0
0,0.002519,0,0
0.017968,0.000905,0,0
0.042001,0.008798,0,0
0,0.001429,0.25,0
0.031711,0.011765,0,0
0.052406,0.004819,0,0
?,0,0,0
0.057265,0.08,0,0
0.023544,0.003492,0,0
0.030261,0.000499,0,0
0.056989,0.029412,0,0
0.03222,0.000855,0,0
0.031228,0.002166,0,0
0.15165,0.006711,0.4,0
