Proximity,WordCount,TitleMatch,TfIdf,TitleSimilarity,ContentSimilarity,Score,Phrase,Link,Match
0,0.08583691,0,0.690343331,0.671311694,0.450543675,0.013924075,Documentation,https://docs.gitlab.com/ee/,TRUE
0,0.012066365,0,0.053572769,0.776803056,0.62886832,0.002079663,Creator documentation,https://docs.gitlab.com/ee/user/index.html,TRUE
0.003762081,0.004878049,0,0.088645885,0.796406029,0.654314457,0.002392064,admin guide,https://docs.gitlab.com/ee/administration/index.html,TRUE
0,0,0,0,0.643052195,0.724901812,0,download/install,https://docs.gitlab.com/ee/install/index.html,TRUE
0.016243747,0.00890472,0,0.130120996,0.658368742,0.735277033,0.00788862,mandatory software and hardware,https://docs.gitlab.com/ee/install/requirements.html,TRUE
0,0.012779553,0,0.058073606,0.796878262,0.676700074,0.002407705,download/install Omnibus,https://docs.gitlab.com/ee/install/installation.html,TRUE
0.490907865,0.190769231,0,0.700314953,0.730646928,0.919868599,0.227067941,memory killer,https://docs.gitlab.com/ee/administration/operations/sidekiq_memory_killer.html,TRUE
0.01671207,0.027695351,0,0.082272305,0.588020625,0.787269343,0.008213935,backup.tar file,https://docs.gitlab.com/ee/raketasks/backup_restore.html,TRUE
0.042570599,0.038613861,0,0.444762026,0.719872787,0.88079939,0.019225358,store consolidated,https://docs.gitlab.com/ee/administration/object_storage.html,TRUE
0.52173913,0.085714286,0,0.107631616,0.385420763,0.76451858,0.214736759,storage server,https://docs.gitlab.com/charts/advanced/external-object-storage/minio.html,TRUE
1,0.026490066,0,0.128026612,0.601948808,0.727824596,0.407535693,an acceleration technique,https://docs.gitlab.com/ee/development/uploads.html#direct-upload,TRUE
0.249247716,0.041884817,1,0.143606852,0.999999926,0.734814633,0.680262553,File Storage in GitLab,https://docs.gitlab.com/ee/development/file_storage.html,TRUE
0.291679737,0.165898618,0.333333333,0.918924832,0.76466245,0.838590229,0.29482533,Hashed Storage,https://docs.gitlab.com/ee/administration/repository_storage_types.html,TRUE
0,0.300507614,0.5,1,0.808037337,0.841226734,0.327087543,Gitaly,https://docs.gitlab.com/ee/administration/gitaly/index.html,TRUE
0,0.194480946,1,0.994374789,1,0.781771342,0.573495459,repositories,https://docs.gitlab.com/ee/user/project/repository/index.html,TRUE
0,0.192592593,0.333333333,1,0.777411566,0.822176706,0.211887812,project,https://docs.gitlab.com/ee/user/project/index.html,TRUE
0.090925696,0.07960199,0,0.25784345,0.668684484,0.908675428,0.056998982,publicly  internally  or privately,https://docs.gitlab.com/ee/public_access/public_access.html,TRUE
0,0.014753343,0,0.178313585,0.692072057,0.767851669,0.002833586,Owners,https://docs.gitlab.com/ee/user/permissions.html,TRUE
0.426080247,0.444444444,0.333333333,0.401447793,0.734193302,0.924278741,0.414050199,public and internal projects,https://docs.gitlab.com/ee/api/projects.html#project-visibility-level,TRUE
0.598809524,0.518518519,0.666666667,0.5875478,0.930813637,0.890612295,0.621705514,access level,https://docs.gitlab.com/ee/api/members.html#valid-access-levels,TRUE
0.382826602,0.433333333,0.666666667,0.461207642,0.885669818,0.865177287,0.601934095,URL-encoded path of the project or group,https://docs.gitlab.com/ee/api/index.html#namespaced-path-encoding,TRUE
0.239815068,0.049766719,1,0.359280297,1,0.662015513,0.577161176,REST API resources,https://docs.gitlab.com/ee/api/api_resources.html,TRUE
0.411111111,0.428571429,0.666666667,0.539268226,0.877439212,0.685894778,0.542814489,V3 to V4,https://docs.gitlab.com/ee/api/v3_to_v4.html,TRUE
0.452493377,0.333333333,0.8,0.67041444,0.974778242,0.941241596,0.704298733,deploy keys for multiple projects,https://docs.gitlab.com/ee/api/deploy_keys.html#adding-deploy-keys-to-multiple-projects,TRUE
0.498260433,0.4125,0.4,0.853028423,0.845275483,0.715758154,0.465813209,Access requests,https://docs.gitlab.com/ee/api/access_requests.html,TRUE
0.517874012,0.380952381,0.5,0.84337769,0.884177803,0.69235016,0.519421648,Access tokens,https://docs.gitlab.com/ee/api/resource_access_tokens.html,TRUE
0.389445771,0.317575758,1,0.733387405,1,0.942849272,0.802485579,project access tokens,https://docs.gitlab.com/ee/user/project/settings/project_access_tokens.html,TRUE
0,0.156862745,0,0.056216971,0.671605998,0.709678161,0.009746853,user self-enrollment,https://docs.gitlab.com/ee/user/admin_area/settings/sign_up_restrictions.html#disable-new-sign-ups,TRUE
0,0.538461538,0.25,1,0.753987742,0.794085032,0.168741169,approved,https://docs.gitlab.com/ee/user/admin_area/moderate_users.html#approve-or-reject-a-user-sign-up,TRUE
0,0.16,0,0.534789097,0.730240909,0.848057503,0.012773507,seat,https://docs.gitlab.com/ee/subscriptions/self_managed/index.html#billable-users,TRUE
0.810526316,0.461538462,1,0.709375694,1,0.888450287,0.884391711,Customers Portal,https://docs.gitlab.com/ee/subscriptions/index.html#customers-portal,TRUE
0.404372305,0.099886493,0.666666667,0.259741013,0.920277944,0.744411579,0.542080929,GitLab SaaS,https://docs.gitlab.com/ee/subscriptions/gitlab_com/index.html,TRUE
0,0.47477314,1,1,1,0.807288363,0.631499824,group,https://docs.gitlab.com/ee/user/group/index.html,TRUE
0,0.233766234,1,1,1,0.865161642,0.579166603,subgroups,https://docs.gitlab.com/ee/user/group/subgroups/index.html,TRUE
0.321214561,0.154589372,0,0.373331732,0.48666824,0.827194807,0.184963789,public  internal  or private,https://docs.gitlab.com/ee/development/permissions.html#general-permissions,TRUE
0.490732054,0.521126761,1,0.743221522,1,0.87661198,0.81284321,Confidential issues,https://docs.gitlab.com/ee/user/project/issues/confidential_issues.html,TRUE
0,0.854961832,1,1,1,0.861588482,0.631405865,issues,https://docs.gitlab.com/ee/user/project/issues/index.html,TRUE
